"V1" "V2" "V3"
"1" 0.91845648989547 1.74900150942616 0.989802892316754
"2" 1.31540943124176 1.52231245395883 1.45818854975669
"3" 1.91088931199939 1.83090024642336 1.40170371446293
"4" 1.9361186355042 1.25931924917425 1.9724195717508
"5" 1.22006550774289 1.15905987675147 1.86719071816343
"6" 1.48938881824414 0.969646379162247 2.07277708205239
"7" 2.04986067243697 1.78691035113608 1.29844238623511
"8" 1.79416375136624 1.18313120921608 1.70464832784453
"9" 1.7478959900684 1.98783348508955 1.66042015885934
"10" 1.27678258870263 1.71379328554186 1.34308765020998
"11" 1.72648241644725 1.28245432095137 0.862112518209033
"12" 0.836488039440786 1.94390518070975 1.17120269367161
"13" 1.16335758455874 0.99491240997954 1.07083401713055
"14" 1.00218250018389 1.68613019338188 1.80317914185269
"15" 1.39035256807382 1.32253239892734 1.60221400677537
"16" 1.82788530452798 0.909968270907799 0.941496957611914
"17" 1.6740047696031 1.63016894840635 1.56000213821729
"18" 1.04356936710266 2.19855820631764 0.898447512167816
"19" 1.50899834658174 1.89364034822055 1.92386671522632
"20" 1.41129510462595 1.47605194238015 1.09979456467709
"21" 2.11587416743084 1.04719023526336 2.12621844167976
"22" 1.5670596088081 2.06764254582425 1.26107607329885
"23" 1.08490014093462 0.891436004649537 2.18744483976004
"24" 2.06213784139914 1.10119075152092 1.41206674592104
"25" 0.863887922023423 1.44370436705804 1.20222440757013
"26" 1.60130464589378 1.38733502450554 2.01570717872897
"27" 2.0065661720171 1.56751537497155 0.825371120083146
"28" 0.956414618923639 2.13249655592255 1.77468755694727
"29" 2.17495783915588 2.03771773921326 1.91883732635062
"30" 1.21246221677245 0.841873203295593 1.53104015253329
